date,platform,landing_visitors,signups,sessions,active_users,checkout_starts,completed_orders,gmv_usd,crash_sessions,total_sessions,support_tickets
2026-01-04,Android,28300,1004,64000,13280,4870,3500,163200,150,64000,29
2026-01-04,Web,13700,325,16350,3340,1358,964,45120,3,16350,6
2026-01-05,iOS,24900,912,56200,11680,4400,3100,143440,116,56200,19
2026-01-05,Android,28900,1028,65200,13520,4960,3580,166880,147,65200,27
2026-01-05,Web,14000,336,16720,3410,1395,992,46480,3,16720,5
2026-01-06,iOS,25100,924,56800,11810,4450,3140,144960,115,56800,18
2026-01-06,Android,29200,1041,65800,13640,5010,3620,168640,145,65800,26
2026-01-06,Web,14200,342,16940,3450,1418,1010,47360,2,16940,5
2026-01-07,iOS,24800,916,56100,11640,4380,3080,142240,117,56100,19
2026-01-07,Android,28800,1022,64800,13480,4940,3560,165760,146,64800,27
2026-01-07,Web,13900,334,16680,3390,1388,984,46160,3,16680,5
2026-01-08,iOS,25400,938,57400,11960,4510,3180,146720,113,57400,17
2026-01-08,Android,29500,1056,66400,13800,5070,3670,171040,143,66400,25
2026-01-08,Web,14400,348,17180,3490,1442,1030,48240,2,17180,4
2026-01-09,iOS,25700,952,58000,12100,4560,3220,148480,112,58000,16
2026-01-09,Android,29800,1070,67100,13960,5120,3720,173280,141,67100,24
2026-01-09,Web,14600,354,17420,3530,1465,1048,49040,2,17420,4
2026-01-10,iOS,25500,946,57600,12020,4530,3190,147360,112,57600,17
2026-01-10,Android,29600,1062,66600,13840,5090,3690,172160,142,66600,25
2026-01-10,Web,14500,351,17280,3510,1454,1038,48560,2,17280,4
2026-01-11,iOS,26000,968,58600,12240,4610,3260,150320,110,58600,15
2026-01-11,Android,30100,1084,67800,14120,5170,3760,175360,139,67800,23
2026-01-11,Web,14800,362,17680,3570,1488,1068,49840,2,17680,3
2026-01-12,iOS,26200,978,59100,12350,4650,3290,151520,109,59100,14
2026-01-12,Android,30400,1096,68400,14240,5210,3800,177280,138,68400,22
2026-01-12,Web,14900,366,17840,3600,1502,1082,50400,2,17840,3
2026-01-13,iOS,25900,970,58500,12200,4600,3250,149600,110,58500,15
2026-01-13,Android,30000,1088,67600,14080,5150,3740,174720,140,67600,23
2026-01-13,Web,14700,360,17600,3560,1478,1062,49680,2,17600,4
2026-01-14,iOS,26500,992,59800,12480,4710,3340,153600,108,59800,13
2026-01-14,Android,30700,1112,69200,14420,5280,3860,180160,136,69200,21
2026-01-14,Web,15100,372,18080,3640,1528,1102,51280,2,18080,3
2026-01-15,iOS,26800,1006,60400,12620,4760,3380,155040,106,60400,12
2026-01-15,Android,31000,1128,69800,14580,5330,3900,182400,134,69800,20
2026-01-15,Web,15300,378,18320,3680,1548,1124,52160,1,18320,3
2026-01-16,iOS,26400,998,59600,12440,4720,3320,152320,107,59600,13
2026-01-16,Android,30600,1106,68800,14340,5260,3840,179520,135,68800,21
2026-01-16,Web,15000,374,17940,3620,1518,1094,50720,2,17940,3
2026-01-17,iOS,27100,1018,61000,12740,4810,3420,156960,105,61000,11
2026-01-17,Android,31300,1142,70400,14720,5380,3940,184480,132,70400,19
2026-01-17,Web,15500,386,18560,3720,1572,1148,53280,1,18560,2
2026-01-18,iOS,26900,1010,60600,12660,4780,3390,155520,105,60600,12
2026-01-18,Android,31100,1134,70000,14640,5350,3910,183040,133,70000,20
2026-01-18,Web,15400,382,18440,3700,1562,1136,52800,2,18440,3
2026-01-19,iOS,27400,1032,61600,12880,4860,3460,158720,103,61600,10
2026-01-19,Android,31600,1158,71000,14860,5440,3990,186560,130,71000,18
2026-01-19,Web,15700,392,18800,3760,1598,1168,54240,1,18800,2
2026-01-20,iOS,27600,1042,62100,12980,4900,3490,160160,102,62100,9
2026-01-20,Android,31800,1170,71400,14980,5480,4020,188160,129,71400,17
2026-01-20,Web,15800,398,18960,3790,1612,1184,54880,1,18960,2
2026-01-21,iOS,27300,1034,61400,12840,4860,3450,158080,103,61400,10
2026-01-21,Android,31500,1154,70600,14800,5420,3970,185920,131,70600,18
2026-01-21,Web,15600,394,18720,3770,1600,1172,54080,1,18720,2
2026-01-22,iOS,27900,1058,62800,13140,4960,3540,162240,101,62800,8
2026-01-22,Android,32100,1186,72200,15140,5540,4070,190240,127,72200,16
2026-01-22,Web,16000,404,19240,3830,1638,1204,55840,1,19240,2
2026-01-23,iOS,28100,1068,63200,13240,4990,3570,163680,100,63200,7
2026-01-23,Android,32400,1198,72600,15260,5580,4100,191680,126,72600,15
2026-01-23,Web,16100,410,19400,3860,1655,1222,56640,1,19400,1
2026-01-24,iOS,27800,1052,62600,13100,4940,3520,161280,101,62600,8
2026-01-24,Android,32000,1180,71800,15080,5510,4050,189120,127,71800,16
2026-01-24,Web,15900,402,19120,3810,1628,1194,55200,1,19120,2
2026-01-25,iOS,28400,1082,63800,13380,5040,3610,165440,98,63800,6
2026-01-25,Android,32700,1214,73200,15420,5640,4150,193600,124,73200,14
2026-01-25,Web,16300,418,19680,3900,1678,1248,57600,1,19680,1
2026-01-26,iOS,28600,1094,64200,13480,5080,3640,166880,97,64200,5
2026-01-26,Android,32900,1226,73600,15540,5680,4180,195040,123,73600,13
2026-01-26,Web,16400,424,19840,3930,1695,1268,58240,1,19840,1
2026-01-27,iOS,28300,1086,63600,13340,5050,3600,164800,98,63600,6
2026-01-27,Android,32600,1218,73000,15380,5650,4140,192480,124,73000,14
2026-01-27,Web,16200,420,19700,3910,1682,1254,57120,1,19700,1
2026-01-28,iOS,28900,1108,64800,13620,5120,3680,168320,96,64800,4
2026-01-28,Android,33200,1242,74200,15680,5720,4220,197120,122,74200,12
2026-01-28,Web,16600,432,20080,3970,1722,1294,59040,1,20080,1
2026-01-29,iOS,29100,1118,65200,13720,5160,3710,169760,95,65200,3
2026-01-29,Android,33400,1254,74600,15780,5760,4260,198560,121,74600,11
2026-01-29,Web,16700,438,20240,4000,1738,1312,59680,1,20240,1
2026-01-30,iOS,28800,1110,64600,13600,5120,3670,167680,96,64600,4
2026-01-30,Android,33100,1246,74000,15640,5730,4230,196480,122,74000,12
2026-01-30,Web,16500,434,20020,3960,1715,1298,58720,1,20020,1
2026-01-31,iOS,29400,1132,65800,13840,5210,3750,171520,94,65800,2
2026-01-31,Android,33700,1270,75200,15940,5820,4310,200800,119,75200,10
2026-01-31,Web,16900,446,20480,4040,1762,1342,60800,0,20480,0
2026-02-01,iOS,27600,1064,62800,13200,4980,3560,162560,99,62800,7
2026-02-01,Android,31800,1194,71400,15080,5520,4060,189280,126,71400,16
2026-02-01,Web,16000,406,19280,3830,1632,1200,55680,1,19280,2
2026-02-02,iOS,29600,1142,66200,13920,5240,3780,172960,93,66200,1
2026-02-02,Android,33900,1282,75600,16040,5860,4340,202240,118,75600,9
2026-02-02,Web,17000,452,20640,4060,1778,1360,61440,0,20640,0
2026-02-03,iOS,29800,1154,66600,14020,5280,3810,174400,92,66600,0
2026-02-03,Android,34100,1294,76000,16140,5900,4380,203680,117,76000,8
2026-02-03,Web,17100,458,20820,4090,1795,1382,62240,0,20820,0
2026-02-04,iOS,29500,1146,66000,13940,5250,3780,172160,93,66000,1
2026-02-04,Android,33800,1286,75400,16080,5870,4350,201600,118,75400,9
2026-02-04,Web,16900,454,20680,4070,1782,1368,60800,0,20680,0
2026-02-05,iOS,30100,1168,67200,14160,5320,3850,176320,91,67200,0
2026-02-05,Android,34400,1310,76600,16280,5950,4420,205440,116,76600,7
2026-02-05,Web,17300,464,21060,4120,1822,1408,63040,0,21060,0
2026-02-06,iOS,30300,1178,67600,14260,5360,3880,177760,90,67600,0
2026-02-06,Android,34600,1322,77000,16380,5990,4460,206880,115,77000,6
2026-02-06,Web,17400,470,21220,4150,1840,1428,63840,0,21220,0
2026-02-07,iOS,30000,1170,67000,14180,5330,3850,175520,91,67000,0
2026-02-07,Android,34300,1314,76400,16240,5960,4430,204960,116,76400,7
2026-02-07,Web,17200,466,20980,4130,1812,1412,62400,0,20980,0
2026-02-08,iOS,30600,1192,68200,14400,5410,3920,179200,89,68200,0
2026-02-08,Android,34900,1338,77600,16520,6040,4500,208320,114,77600,5
2026-02-08,Web,17600,478,21480,4180,1868,1458,64960,0,21480,0
2026-02-09,iOS,30800,1202,68600,14500,5450,3950,180640,88,68600,0
2026-02-09,Android,35100,1350,78000,16620,6080,4540,209760,113,78000,4
2026-02-09,Web,17700,484,21640,4210,1888,1478,65760,0,21640,0
2026-02-10,iOS,30500,1194,68000,14420,5420,3920,178720,89,68000,0
2026-02-10,Android,34800,1342,77400,16560,6050,4510,208000,114,77400,5
2026-02-10,Web,17500,480,21400,4190,1872,1464,64320,0,21400,0
2026-02-11,iOS,31100,1216,69200,14640,5490,3980,182080,87,69200,0
2026-02-11,Android,35400,1366,78600,16760,6120,4580,211200,112,78600,3
2026-02-11,Web,17900,492,21880,4250,1918,1508,66880,0,21880,0
2026-02-12,iOS,31300,1226,69600,14740,5530,4010,183520,86,69600,0
2026-02-12,Android,35600,1378,79000,16860,6160,4620,212640,111,79000,2
2026-02-12,Web,18000,498,22040,4280,1938,1528,67520,0,22040,0
2026-02-13,iOS,31000,1218,69000,14660,5500,3980,181760,87,69000,0
2026-02-13,Android,35300,1370,78400,16780,6130,4590,210880,112,78400,3
2026-02-13,Web,17800,494,21820,4260,1925,1512,66240,0,21820,0
2026-02-14,iOS,31600,1242,70200,14880,5570,4050,185280,85,70200,0
2026-02-14,Android,35900,1394,79600,17020,6210,4660,214400,110,79600,1
2026-02-14,Web,18200,506,22280,4320,1968,1558,68480,0,22280,0
2026-02-15,iOS,31400,1234,69800,14800,5550,4030,184000,86,69800,0
2026-02-15,Android,35700,1386,79200,16940,6180,4640,213120,111,79200,2
2026-02-15,Web,18100,502,22160,4300,1955,1544,67840,0,22160,0
2026-02-16,iOS,31900,1256,70800,15020,5620,4090,187040,84,70800,0
2026-02-16,Android,36200,1410,80200,17160,6260,4710,216640,109,80200,0
2026-02-16,Web,18400,514,22520,4360,1995,1588,69760,0,22520,0
2026-02-17,iOS,32100,1266,71200,15120,5660,4120,188480,83,71200,0
2026-02-17,Android,36400,1422,80600,17260,6300,4750,218080,108,80600,0
2026-02-17,Web,18500,520,22680,4390,2015,1608,70400,0,22680,0
2026-02-18,iOS,31800,1258,70600,15040,5630,4080,186560,84,70600,0
2026-02-18,Android,36100,1414,80000,17140,6270,4720,216000,109,80000,0
2026-02-18,Web,18300,516,22440,4370,2002,1598,69120,0,22440,0
2026-02-19,iOS,32400,1280,71600,15240,5700,4160,190080,82,71600,0
2026-02-19,Android,36700,1438,81200,17400,6360,4800,220160,107,81200,0
2026-02-19,Web,18700,528,22920,4430,2048,1648,71680,0,22920,0
2026-02-20,iOS,32600,1290,72000,15340,5740,4190,191520,81,72000,0
2026-02-20,Android,36900,1450,81600,17500,6400,4840,221600,106,81600,0
2026-02-20,Web,18800,534,23080,4460,2068,1668,72320,0,23080,0
2026-02-21,iOS,32300,1282,71400,15260,5710,4160,189440,82,71400,0
2026-02-21,Android,36600,1442,81000,17420,6370,4810,219520,107,81000,0
2026-02-21,Web,18600,530,22800,4440,2055,1654,71040,0,22800,0
2026-02-22,iOS,32900,1304,72600,15480,5780,4220,193280,80,72600,0
2026-02-22,Android,37200,1466,82200,17640,6460,4890,223680,105,82200,0
2026-02-22,Web,19000,542,23320,4500,2098,1708,73600,0,23320,0
2026-02-23,iOS,33100,1314,73000,15580,5820,4250,194720,79,73000,0
2026-02-23,Android,37400,1478,82600,17740,6500,4930,225120,104,82600,0
2026-02-23,Web,19100,548,23480,4530,2118,1728,74240,0,23480,0
2026-02-24,iOS,32800,1306,72400,15500,5790,4220,192640,80,72400,0
2026-02-24,Android,37100,1470,82000,17680,6470,4900,223360,105,82000,0
2026-02-24,Web,18900,544,23200,4510,2105,1714,72960,0,23200,0
2026-02-25,iOS,33400,1328,73400,15720,5860,4290,196160,78,73400,0
2026-02-25,Android,37700,1494,83200,17880,6540,4980,227520,103,83200,0
2026-02-25,Web,19300,556,23680,4560,2148,1758,75520,0,23680,0
2026-02-26,iOS,33600,1338,73800,15820,5900,4320,197600,77,73800,0
2026-02-26,Android,37900,1506,83600,17980,6580,5020,228960,102,83600,0
2026-02-26,Web,19400,562,23840,4590,2168,1778,76160,0,23840,0
2026-02-27,iOS,33300,1330,73200,15740,5870,4290,195520,78,73200,0
2026-02-27,Android,37600,1498,83000,17920,6550,4990,226880,103,83000,0
2026-02-27,Web,19200,558,23640,4570,2155,1764,74880,0,23640,0
2026-02-28,iOS,33900,1352,74400,15940,5940,4360,199040,76,74400,0
2026-02-28,Android,38200,1522,84200,18140,6620,5060,230400,101,84200,0
2026-02-28,Web,19600,570,24080,4620,2198,1818,77440,0,24080,0
2026-03-01,iOS,33100,1320,72800,15680,5820,4260,194240,79,72800,0
2026-03-01,Android,37400,1486,82400,17820,6480,4920,224640,104,82400,0
2026-03-01,Web,19000,546,23360,4510,2090,1724,73600,0,23360,0
2026-03-02,iOS,34100,1362,74800,16040,5980,4390,200480,75,74800,0
2026-03-02,Android,38400,1534,84600,18240,6660,5100,232320,100,84600,0
2026-03-02,Web,19700,576,24240,4640,2218,1848,78080,0,24240,0
2026-03-03,iOS,34300,1372,75200,16140,6020,4420,201920,74,75200,0
2026-03-03,Android,38600,1546,85000,18340,6700,5140,233760,99,85000,0
2026-03-03,Web,19800,582,24400,4670,2238,1868,78720,0,24400,0
2026-03-04,iOS,34000,1364,74600,16060,5990,4390,200000,75,74600,0
2026-03-04,Android,38300,1538,84400,18280,6670,5110,231680,100,84400,0
2026-03-04,Web,19600,578,24200,4650,2225,1854,78080,0,24200,0
2026-03-05,iOS,34600,1384,75600,16260,6060,4460,203360,73,75600,0
2026-03-05,Android,38900,1562,85400,18480,6740,5180,235520,98,85400,0
2026-03-05,Web,20000,590,24640,4700,2268,1898,79680,0,24640,0
2026-03-06,iOS,34800,1394,76000,16360,6100,4490,204800,72,76000,0
2026-03-06,Android,39100,1574,85800,18580,6780,5220,236960,97,85800,0
2026-03-06,Web,20100,596,24800,4730,2288,1918,80320,0,24800,0
2026-03-07,iOS,34500,1386,75400,16280,6070,4460,203200,73,75400,0
2026-03-07,Android,38800,1566,85200,18500,6750,5190,234880,98,85200,0
2026-03-07,Web,19900,592,24520,4710,2275,1904,79040,0,24520,0
2026-03-08,iOS,35100,1408,76400,16480,6140,4520,206240,71,76400,0
2026-03-08,Android,39400,1590,86400,18740,6820,5260,238720,96,86400,0
2026-03-08,Web,20300,604,25040,4760,2318,1958,81280,0,25040,0
2026-03-09,iOS,35300,1418,76800,16580,6180,4550,207680,70,76800,0
2026-03-09,Android,39600,1602,86800,18840,6860,5300,240160,95,86800,0
2026-03-09,Web,20400,610,25200,4790,2338,1978,81920,0,25200,0
2026-03-10,iOS,35000,1410,76200,16500,6150,4520,205760,71,76200,0
2026-03-10,Android,39300,1594,86200,18780,6830,5270,238400,96,86200,0
2026-03-10,Web,20200,606,24960,4770,2325,1964,80640,0,24960,0
2026-03-11,iOS,35600,1430,77200,16700,6220,4580,209120,69,77200,0
2026-03-11,Android,39900,1618,87400,18980,6900,5340,241600,94,87400,0
2026-03-11,Web,20500,616,25400,4820,2368,2008,82560,0,25400,0
2026-03-12,iOS,35800,1440,77600,16800,6260,4610,210560,68,77600,0
2026-03-12,Android,40100,1630,87800,19080,6940,5380,243040,93,87800,0
2026-03-12,Web,20600,622,25560,4850,2388,2028,83200,0,25560,0
2026-03-13,iOS,35500,1432,77000,16720,6230,4580,208640,69,77000,0
2026-03-13,Android,39800,1622,87200,18940,6910,5350,241280,94,87200,0
2026-03-13,Web,20400,618,25360,4830,2375,2014,81920,0,25360,0
2026-03-14,iOS,36100,1452,78000,16920,6300,4650,212000,67,78000,0
2026-03-14,Android,40400,1646,88400,19220,6980,5420,244800,92,88400,0
2026-03-14,Web,20800,630,25800,4890,2418,2068,84480,0,25800,0
2026-03-15,iOS,35900,1444,77600,16840,6280,4620,210080,68,77600,0
2026-03-15,Android,40200,1638,88000,19140,6960,5390,243520,93,88000,0
2026-03-15,Web,20700,626,25640,4870,2405,2054,83840,0,25640,0
2026-03-16,iOS,36400,1464,78600,17040,6340,4690,213440,66,78600,0
2026-03-16,Android,40700,1662,89000,19360,7020,5460,246720,91,89000,0
2026-03-16,Web,21000,638,26040,4920,2448,2098,85760,0,26040,0
2026-03-17,iOS,36600,1474,79000,17140,6380,4720,214880,65,79000,0
2026-03-17,Android,40900,1674,89400,19460,7060,5500,248160,90,89400,0
2026-03-17,Web,21100,644,26200,4950,2468,2118,86400,0,26200,0
2026-03-18,iOS,36300,1466,78400,17060,6350,4690,212960,66,78400,0
2026-03-18,Android,40600,1666,88800,19380,7030,5470,246400,91,88800,0
2026-03-18,Web,20900,640,25960,4930,2455,2104,85120,0,25960,0
2026-03-19,iOS,36900,1486,79400,17280,6420,4760,216320,64,79400,0
2026-03-19,Android,41200,1690,90000,19600,7100,5540,250240,89,90000,0
2026-03-19,Web,21300,652,26440,4990,2498,2158,87680,0,26440,0
2026-03-20,iOS,37100,1496,79800,17380,6460,4790,217760,63,79800,0
2026-03-20,Android,41400,1702,90400,19700,7140,5580,251680,88,90400,0
2026-03-20,Web,21400,658,26600,5020,2518,2178,88320,0,26600,0
2026-03-21,iOS,36800,1488,79200,17300,6430,4760,216000,64,79200,0
2026-03-21,Android,41100,1694,89800,19620,7110,5550,249920,89,89800,0
2026-03-21,Web,21200,654,26320,5000,2505,2164,87040,0,26320,0
2026-03-22,iOS,37400,1508,80200,17500,6500,4830,219200,62,80200,0
2026-03-22,Android,41700,1718,91000,19840,7180,5620,253760,87,91000,0
2026-03-22,Web,21600,666,26840,5060,2558,2218,89600,0,26840,0
2026-03-23,iOS,37600,1518,80600,17600,6540,4860,220640,61,80600,0
2026-03-23,Android,41900,1730,91400,19940,7220,5660,255200,86,91400,0
2026-03-23,Web,21700,672,27000,5090,2578,2238,90240,0,27000,0
2026-03-24,iOS,37300,1510,80000,17520,6510,4830,218720,62,80000,0
2026-03-24,Android,41600,1722,90800,19860,7190,5630,253440,87,90800,0
2026-03-24,Web,21500,668,26720,5070,2565,2224,88960,0,26720,0
